event,enabled,cme_onset,cme_0p1_au,longitude,latitude,width,speed,notes
2023-11-22T2136-v1,true,2023-11-22T21:36:00,2023-11-23T03:56:00,6.0,-31.0,98.0,665.0,DONKI GST-associated CME 2023-11-22T21:36 v1 type C CR2277
2023-11-28T2024-v1,true,2023-11-28T20:24:00,2023-11-29T00:03:00,13.0,0.0,90.0,910.0,DONKI GST-associated CME 2023-11-28T20:24 v1 type C CR2278
2023-11-28T2048-v1,true,2023-11-28T20:48:00,2023-11-29T01:03:00,2.0,-6.0,90.0,768.0,DONKI GST-associated CME 2023-11-28T20:48 v1 type C CR2278
2023-12-14T1738-v1,true,2023-12-14T17:38:00,2023-12-14T20:34:00,33.0,-4.0,98.0,1081.0,DONKI GST-associated CME 2023-12-14T17:38 v1 type O CR2278
2024-02-28T1748-v1,true,2024-02-28T17:48:00,2024-02-28T22:51:00,59.0,20.0,86.0,730.0,DONKI GST-associated CME 2024-02-28T17:48 v1 type C CR2281
2024-03-23T0125-v3,true,2024-03-23T01:25:00,2024-03-23T03:19:00,2.0,22.0,82.0,1613.0,DONKI GST-associated CME 2024-03-23T01:25 v3 type O CR2282
2024-03-23T0148-v2,true,2024-03-23T01:48:00,2024-03-23T03:35:00,9.0,-2.0,92.0,1571.0,DONKI GST-associated CME 2024-03-23T01:48 v2 type O CR2282
2024-03-23T0148-v4,true,2024-03-23T01:48:00,2024-03-23T03:50:00,5.0,5.0,90.0,1572.0,DONKI GST-associated CME 2024-03-23T01:48 v4 type O CR2282
2024-04-15T0648-v2,true,2024-04-15T06:48:00,2024-04-15T10:52:00,-10.0,6.0,72.0,724.0,DONKI GST-associated CME 2024-04-15T06:48 v2 type C CR2283
2024-05-08T0536-v1,true,2024-05-08T05:36:00,2024-05-08T09:47:00,15.0,-15.0,90.0,729.0,DONKI GST-associated CME 2024-05-08T05:36 v1 type C CR2284
2024-05-08T0536-v3,true,2024-05-08T05:36:00,2024-05-08T09:30:00,9.0,-7.0,86.0,870.0,DONKI GST-associated CME 2024-05-08T05:36 v3 type C CR2284
2024-05-08T1224-v1,true,2024-05-08T12:24:00,2024-05-08T15:16:00,8.0,-15.0,86.0,1156.0,DONKI GST-associated CME 2024-05-08T12:24 v1 type O CR2284
2024-05-08T1224-v3,true,2024-05-08T12:24:00,2024-05-08T16:58:00,3.0,-5.0,90.0,776.0,DONKI GST-associated CME 2024-05-08T12:24 v3 type C CR2284
2024-05-08T1912-v1,true,2024-05-08T19:12:00,2024-05-08T23:27:00,-23.0,3.0,76.0,828.0,DONKI GST-associated CME 2024-05-08T19:12 v1 type C CR2284
2024-05-08T2224-v1,true,2024-05-08T22:24:00,2024-05-09T01:43:00,12.0,-16.0,80.0,1130.0,DONKI GST-associated CME 2024-05-08T22:24 v1 type O CR2284
2024-05-08T2224-v2,true,2024-05-08T22:24:00,2024-05-09T00:51:00,5.0,-6.0,90.0,1257.0,DONKI GST-associated CME 2024-05-08T22:24 v2 type O CR2284
2024-05-09T0924-v1,true,2024-05-09T09:24:00,2024-05-09T11:56:00,19.0,-6.0,90.0,1330.0,DONKI GST-associated CME 2024-05-09T09:24 v1 type O CR2284
2024-05-09T0924-v2,true,2024-05-09T09:24:00,2024-05-09T11:21:00,14.0,-12.0,90.0,1561.0,DONKI GST-associated CME 2024-05-09T09:24 v2 type O CR2284
2024-05-10T0712-v1,true,2024-05-10T07:12:00,2024-05-10T09:32:00,15.0,-10.0,90.0,1332.0,DONKI GST-associated CME 2024-05-10T07:12 v1 type O CR2284
2024-05-10T0712-v2,true,2024-05-10T07:12:00,2024-05-10T10:35:00,31.0,-2.0,82.0,1018.0,DONKI GST-associated CME 2024-05-10T07:12 v2 type O CR2284
2024-05-14T1036-v1,true,2024-05-14T10:36:00,2024-05-14T15:39:00,92.0,-29.0,46.0,763.0,DONKI GST-associated CME 2024-05-14T10:36 v1 type C CR2284
2024-06-25T0500-v1,true,2024-06-25T05:00:00,2024-06-25T13:12:00,39.0,3.0,76.0,556.0,DONKI GST-associated CME 2024-06-25T05:00 v1 type C CR2285
2024-07-31T1836-v1,true,2024-07-31T18:36:00,2024-07-31T21:43:00,50.0,5.0,100.0,1109.0,DONKI GST-associated CME 2024-07-31T18:36 v1 type O CR2287
2024-07-31T1836-v2,true,2024-07-31T18:36:00,2024-07-31T21:50:00,73.0,2.0,90.0,1082.0,DONKI GST-associated CME 2024-07-31T18:36 v2 type O CR2287
